,sample,date.sampled,date.measured,absorbance.1,absorbance.2,species,temp,rep,notes,error_code,evap_volume,evap_relevant
53,1-38-2,2017-04-11,2017-06-26,0.05,0.05,1,38,2,,,18.55172414,evap
65,1-38-3,2017-04-11,2017-06-26,0.05,0.05,1,38,3,,,18.55172414,evap
77,1-38-4,2017-04-11,2017-06-26,0.049,0.045,1,38,4,,,18.55172414,evap
89,1-38-5,2017-04-11,2017-06-26,0.052,0.055,1,38,5,,,18.43103448,evap
42,2-38-1,2017-04-11,2017-06-26,0.051,0.051,2,38,1,,,20,evap
54,2-38-2,2017-04-11,2017-06-26,0.051,0.048,2,38,2,,,20,evap
66,2-38-3,2017-04-11,2017-06-26,0.085,0.081,2,38,3,,,20,evap
78,2-38-4,2017-04-11,2017-06-26,0.045,0.046,2,38,4,,,20,evap
90,2-38-5,2017-04-11,2017-06-26,0.039,0.039,2,38,5,,,20,evap
92,2003-03-01,2017-04-14,2017-06-27,0.03,0.03,3,3,1,,,,
104,2003-03-02,2017-04-14,2017-06-27,0.011,0.011,3,3,2,,,,
116,2003-03-03,2017-04-14,2017-06-27,0.044,0.034,3,3,3,,,,
128,2003-03-04,2017-04-14,2017-06-27,0.048,0.049,3,3,4,,,,
139,2003-03-05,2017-04-14,2017-06-27,0.03,0.029,3,3,5,,,,
93,2004-03-01,2017-04-14,2017-06-27,0.065,0.066,4,3,1,,,,
105,2004-03-02,2017-04-14,2017-06-27,0.043,0.042,4,3,2,,,,
117,2004-03-03,2017-04-14,2017-06-27,0.028,0.029,4,3,3,,,,
129,2004-03-04,2017-04-14,2017-06-27,0.042,0.038,4,3,4,,,,
140,2004-03-05,2017-04-14,2017-06-27,0.05,0.05,4,3,5,,,,
94,2003-10-01,2017-04-14,2017-06-27,0.053,0.053,3,10,1,,,,
106,2003-10-02,2017-04-14,2017-06-27,0.038,0.037,3,10,2,,,,
118,2003-10-03,2017-04-14,2017-06-27,0.053,0.049,3,10,3,,,,
130,2003-10-04,2017-04-14,2017-06-27,0.053,0.047,3,10,4,,,,
141,2003-10-05,2017-04-14,2017-06-27,0.065,0.065,3,10,5,,,,
95,2004-10-01,2017-04-14,2017-06-27,0.057,0.055,4,10,1,,,,
107,2004-10-02,2017-04-14,2017-06-27,0.033,0.034,4,10,2,,,,
119,2004-10-03,2017-04-14,2017-06-27,0.044,0.044,4,10,3,,,,
131,2004-10-04,2017-04-14,2017-06-27,0.05,0.044,4,10,4,,,,
142,2004-10-05,2017-04-14,2017-06-27,0.058,0.054,4,10,5,,,,
96,3-17-1,2017-04-14,2017-06-27,0.052,0.055,3,17,1,,,,
108,3-17-2,2017-04-14,2017-06-27,0.077,0.078,3,17,2,,,,
120,3-17-3,2017-04-14,2017-06-27,0.045,0.046,3,17,3,,,,
132,3-17-4,2017-04-14,2017-06-27,0.035,0.038,3,17,4,,,,
143,3-17-5,2017-04-14,2017-06-27,0.063,0.062,3,17,5,,,,
97,4-17-1,2017-04-14,2017-06-27,0.04,0.04,4,17,1,,,,
109,4-17-2,2017-04-14,2017-06-27,0.074,0.073,4,17,2,,,,
121,4-17-3,2017-04-14,2017-06-27,0.041,0.041,4,17,3,,,,
133,4-17-4,2017-04-14,2017-06-27,0.045,0.045,4,17,4,,,,
144,4-17-5,2017-04-14,2017-06-27,0.053,0.054,4,17,5,,,,
98,3-24-1,2017-04-14,2017-06-27,0.065,0.064,3,24,1,too much liquid - likely acid added twice,discard,20,evap
110,3-24-2,2017-04-14,2017-06-27,0.044,0.043,3,24,2,,,20,evap
122,3-24-3,2017-04-14,2017-06-27,0.051,0.049,3,24,3,,,20,evap
134,3-24-4,2017-04-14,2017-06-27,0.044,0.044,3,24,4,,,20,evap
145,3-24-5,2017-04-14,2017-06-27,0.044,0.044,3,24,5,,,20,evap
99,4-24-1,2017-04-14,2017-06-27,0.052,0.057,4,24,1,,,20,evap
111,4-24-2,2017-04-14,2017-06-27,0.037,0.04,4,24,2,,,20,evap
123,4-24-3,2017-04-14,2017-06-27,0.014,0.014,4,24,3,don't see adequate cadmium,error,20,evap
135,4-24-4,2017-04-14,2017-06-27,0.022,0.026,4,24,4,,,20,evap
146,4-24-5,2017-04-14,2017-06-27,0.043,0.04,4,24,5,,,20,evap
100,3-31-1,2017-04-14,2017-06-27,0.051,0.053,3,31,1,,,20,evap
112,3-31-2,2017-04-14,2017-06-27,0.036,0.034,3,31,2,,,20,evap
124,3-31-3,2017-04-14,2017-06-27,0.032,0.034,3,31,3,,,20,evap
136,3-31-4,2017-04-14,2017-06-27,0.007,-0.02,3,31,4,,,20,evap
147,3-31-5,2017-04-14,2017-06-27,0.049,0.043,3,31,5,,,20,evap
101,4-31-1,2017-04-14,2017-06-27,0.038,0.035,4,31,1,,,20,evap
113,4-31-2,2017-04-14,2017-06-27,0.067,0.05,4,31,2,,,20,evap
125,4-31-3,2017-04-14,2017-06-27,0.042,0.04,4,31,3,,,20,evap
137,4-31-4,2017-04-14,2017-06-27,0.064,0.066,4,31,4,,,20,evap
148,4-31-5,2017-04-14,2017-06-27,0.042,0.044,4,31,5,,,20,evap
102,3-38-1,2017-04-14,2017-06-27,0.048,0.047,3,38,1,,,20,evap
114,3-38-2,2017-04-14,2017-06-27,0.038,0.038,3,38,2,,,20,evap
126,3-38-3,2017-04-14,2017-06-27,0.053,0.053,3,38,3,,,20,evap
138,3-38-4,2017-04-14,2017-06-27,0.074,0.073,3,38,4,,,20,evap
149,3-38-5,2017-04-14,2017-06-27,0.082,0.084,3,38,5,,,20,evap
103,4-38-1,2017-04-14,2017-06-27,0.077,0.079,4,38,1,,,20,evap
115,4-38-2,2017-04-14,2017-06-27,0.037,0.034,4,38,2,,,20,evap
127,4-38-3,2017-04-14,2017-06-27,0.046,0.044,4,38,3,,,20,evap
151,4-38-4,2017-04-14,2017-06-27,0.062,0.061,4,38,4,low vol- done w 0.5ml,low_vol,20,evap
150,4-38-5,2017-04-14,2017-06-27,0.035,0.04,4,38,5,,,20,evap
153,2001-03-01,2017-04-18,2017-06-28,0.028,0.026,1,3,1,,,,
177,2001-03-02,2017-04-18,2017-06-28,0.063,0.063,1,3,2,,,,
201,2001-03-03,2017-04-18,2017-06-28,0.076,0.051,1,3,3,,points_differ,,
225,2001-03-04,2017-04-18,2017-06-28,0.053,0.051,1,3,4,,,,
249,2001-03-05,2017-04-18,2017-06-28,0.069,0.073,1,3,5,,,,
154,2002-03-01,2017-04-18,2017-06-28,0.034,0.035,2,3,1,,,,
178,2002-03-02,2017-04-18,2017-06-28,0.053,0.055,2,3,2,,,,
202,2002-03-03,2017-04-18,2017-06-28,0.06,0.059,2,3,3,,,,
226,2002-03-04,2017-04-18,2017-06-28,0.061,0.061,2,3,4,,,,
250,2002-03-05,2017-04-18,2017-06-28,0.054,0.055,2,3,5,,,,
157,2001-10-01,2017-04-18,2017-06-28,-0.003,-0.007,1,10,1,,,,
181,2001-10-02,2017-04-18,2017-06-28,0.063,0.067,1,10,2,,,,
205,2001-10-03,2017-04-18,2017-06-28,0.066,0.062,1,10,3,,filter_off,,
229,2001-10-04,2017-04-18,2017-06-28,0.03,0.033,1,10,4,,,,
253,2001-10-05,2017-04-18,2017-06-28,0.02,0.022,1,10,5,,,,
158,2002-10-01,2017-04-18,2017-06-28,0.01,0.011,2,10,1,,,,
182,2002-10-02,2017-04-18,2017-06-28,0.028,0.029,2,10,2,,,,
206,2002-10-03,2017-04-18,2017-06-28,0.041,0.036,2,10,3,,,,
230,2002-10-04,2017-04-18,2017-06-28,0.025,0.027,2,10,4,,,,
254,2002-10-05,2017-04-18,2017-06-28,0.041,0.043,2,10,5,,,,
161,1-17-1,2017-04-18,2017-06-28,0.025,0.028,1,17,1,,,,
185,1-17-2,2017-04-18,2017-06-28,0.019,0.019,1,17,2,,,,
209,1-17-3,2017-04-18,2017-06-28,0.022,0.019,1,17,3,,,,
233,1-17-4,2017-04-18,2017-06-28,0.032,0.028,1,17,4,,,,
257,1-17-5,2017-04-18,2017-06-28,0.013,0.006,1,17,5,,,,
162,2-17-1,2017-04-18,2017-06-28,-0.02,-0.019,2,17,1,,vis_outlier,,
186,2-17-2,2017-04-18,2017-06-28,0.054,0.057,2,17,2,,,,
210,2-17-3,2017-04-18,2017-06-28,0,0,2,17,3,,,,
234,2-17-4,2017-04-18,2017-06-28,0.028,0.025,2,17,4,,,,
258,2-17-5,2017-04-18,2017-06-28,0,0,2,17,5,,,,
165,1-24-1,2017-04-18,2017-06-28,-0.007,-0.003,1,24,1,,,18.79310345,evap
189,1-24-2,2017-04-18,2017-06-28,0.037,0.038,1,24,2,,,18.79310345,evap
213,1-24-3,2017-04-18,2017-06-28,0.014,0.01,1,24,3,,,18.79310345,evap
237,1-24-4,2017-04-18,2017-06-28,0.022,0.021,1,24,4,,,18.79310345,evap
261,1-24-5,2017-04-18,2017-06-28,0.012,0.013,1,24,5,,,18.79310345,evap
166,2-24-1,2017-04-18,2017-06-28,-0.004,0,2,24,1,,,19.36363636,evap
190,2-24-2,2017-04-18,2017-06-28,0.02,0.022,2,24,2,,,19.36363636,evap
214,2-24-3,2017-04-18,2017-06-28,0.128,0.122,2,24,3,,vis_outlier,19.36363636,evap
238,2-24-4,2017-04-18,2017-06-28,0.285,0.286,2,24,4,,vis_outlier,19.36363636,evap
262,2-24-5,2017-04-18,2017-06-28,0.022,0.025,2,24,5,,,19.36363636,evap
169,1-31-1,2017-04-18,2017-06-28,0.016,0.018,1,31,1,,,17.82758621,evap
193,1-31-2,2017-04-18,2017-06-28,0.062,0.063,1,31,2,,,17.82758621,evap
217,1-31-3,2017-04-18,2017-06-28,0.039,0.034,1,31,3,,,17.82758621,evap
241,1-31-4,2017-04-18,2017-06-28,0,0,1,31,4,,,17.82758621,evap
265,1-31-5,2017-04-18,2017-06-28,0.022,0.021,1,31,5,,,17.82758621,evap
170,2-31-1,2017-04-18,2017-06-28,0.014,0.01,2,31,1,,,18.88636364,evap
194,2-31-2,2017-04-18,2017-06-28,0.159,0.159,2,31,2,,vis_outlier,18.88636364,evap
218,2-31-3,2017-04-18,2017-06-28,0.025,0.029,2,31,3,sample mixed with 2-31-4,mixed,18.88636364,evap
242,2-31-4,2017-04-18,2017-06-28,0.047,0.046,2,31,4,,,18.88636364,evap
266,2-31-5,2017-04-18,2017-06-28,0.027,0.026,2,31,5,,,18.88636364,evap
173,1-38-1,2017-04-18,2017-06-28,0.066,0.066,1,38,1,,,17.10344828,evap
197,1-38-2,2017-04-18,2017-06-28,0.049,0.051,1,38,2,,,17.10344828,evap
221,1-38-3,2017-04-18,2017-06-28,0.026,0.023,1,38,3,,,17.10344828,evap
245,1-38-4,2017-04-18,2017-06-28,0.126,0.126,1,38,4,,vis_outlier,17.10344828,evap
269,1-38-5,2017-04-18,2017-06-28,0,0,1,38,5,,,16.86206897,evap
174,2-38-1,2017-04-18,2017-06-28,0.039,0.042,2,38,1,,,18.41,evap
198,2-38-2,2017-04-18,2017-06-28,0.034,0.031,2,38,2,,,18.73,evap
222,2-38-3,2017-04-18,2017-06-28,0.016,0.018,2,38,3,,,18.25,evap
246,2-38-4,2017-04-18,2017-06-28,0.038,0.038,2,38,4,,,18.41,evap
270,2-38-5,2017-04-18,2017-06-28,0,0,2,38,5,,,18.25,evap
155,2003-03-01,2017-04-21,2017-06-28,0.031,0.028,3,3,1,,,,
179,2003-03-02,2017-04-21,2017-06-28,0.082,0.082,3,3,2,,,,
203,2003-03-03,2017-04-21,2017-06-28,0.054,0.054,3,3,3,,,,
227,2003-03-04,2017-04-21,2017-06-28,0.056,0.058,3,3,4,,,,
251,2003-03-05,2017-04-21,2017-06-28,0.038,0.036,3,3,5,,,,
156,2004-03-01,2017-04-21,2017-06-28,0.026,0.024,4,3,1,,,,
180,2004-03-02,2017-04-21,2017-06-28,0.04,0.044,4,3,2,,,,
204,2004-03-03,2017-04-21,2017-06-28,0.049,0.048,4,3,3,,,,
228,2004-03-04,2017-04-21,2017-06-28,0.067,0.064,4,3,4,,,,
252,2004-03-05,2017-04-21,2017-06-28,0.02,0.022,4,3,5,,,,
159,2003-10-01,2017-04-21,2017-06-28,0.019,0.019,3,10,1,,,,
183,2003-10-02,2017-04-21,2017-06-28,0.044,0.048,3,10,2,,,,
207,2003-10-03,2017-04-21,2017-06-28,0.044,0.04,3,10,3,,filter_off,,
231,2003-10-04,2017-04-21,2017-06-28,0.011,0.008,3,10,4,,,,
255,2003-10-05,2017-04-21,2017-06-28,0.047,0.043,3,10,5,,,,
160,2004-10-01,2017-04-21,2017-06-28,-0.022,-0.021,4,10,1,,,,
184,2004-10-02,2017-04-21,2017-06-28,0.018,0.018,4,10,2,,,,
208,2004-10-03,2017-04-21,2017-06-28,0.014,0.012,4,10,3,,,,
232,2004-10-04,2017-04-21,2017-06-28,0.008,0.008,4,10,4,,,,
256,2004-10-05,2017-04-21,2017-06-28,0.015,0.013,4,10,5,,,,
163,3-17-1,2017-04-21,2017-06-28,0,-0.001,3,17,1,,,,
187,3-17-2,2017-04-21,2017-06-28,0.041,0.043,3,17,2,,,,
211,3-17-3,2017-04-21,2017-06-28,0.012,0.009,3,17,3,,,,
235,3-17-4,2017-04-21,2017-06-28,0.019,0.018,3,17,4,,,,
259,3-17-5,2017-04-21,2017-06-28,0.029,0.022,3,17,5,,,,
164,4-17-1,2017-04-21,2017-06-28,-0.007,-0.007,4,17,1,,,,
188,4-17-2,2017-04-21,2017-06-28,0.024,0.024,4,17,2,,,,
212,4-17-3,2017-04-21,2017-06-28,0,0,4,17,3,,,,
236,4-17-4,2017-04-21,2017-06-28,0.017,0.017,4,17,4,,,,
260,4-17-5,2017-04-21,2017-06-28,0.019,0.016,4,17,5,,,,
167,3-24-1,2017-04-21,2017-06-28,-0.001,-0.002,3,24,1,,,19.63157895,evap
191,3-24-2,2017-04-21,2017-06-28,NA,0,3,24,2,,,19.63157895,evap
215,3-24-3,2017-04-21,2017-06-28,0.014,0.015,3,24,3,,,19.63157895,evap
239,3-24-4,2017-04-21,2017-06-28,0.01,0.013,3,24,4,,,19.63157895,evap
263,3-24-5,2017-04-21,2017-06-28,0.017,0.014,3,24,5,,,19.63157895,evap
168,4-24-1,2017-04-21,2017-06-28,0,-0.004,4,24,1,,,19.63157895,evap
192,4-24-2,2017-04-21,2017-06-28,0.017,0.02,4,24,2,,,19.63157895,evap
216,4-24-3,2017-04-21,2017-06-28,0.03,0.032,4,24,3,,,19.63157895,evap
240,4-24-4,2017-04-21,2017-06-28,0,0,4,24,4,,,19.63157895,evap
264,4-24-5,2017-04-21,2017-06-28,0.016,0.014,4,24,5,,,19.63157895,evap
171,3-31-1,2017-04-21,2017-06-28,0.008,0.008,3,31,1,,,19.08,evap
195,3-31-2,2017-04-21,2017-06-28,0.042,0.043,3,31,2,,,19.08,evap
219,3-31-3,2017-04-21,2017-06-28,0.027,0.024,3,31,3,,,19.08,evap
243,3-31-4,2017-04-21,2017-06-28,0.034,0.034,3,31,4,,,19.08,evap
267,3-31-5,2017-04-21,2017-06-28,0.057,0.057,3,31,5,,,19.08,evap
172,4-31-1,2017-04-21,2017-06-28,-0.005,-0.003,4,31,1,,,19.57894737,evap
196,4-31-2,2017-04-21,2017-06-28,0.034,0.034,4,31,2,,,19.57894737,evap
220,4-31-3,2017-04-21,2017-06-28,0.023,0.025,4,31,3,,,19.57894737,evap
244,4-31-4,2017-04-21,2017-06-28,0.016,0.018,4,31,4,,,19.57894737,evap
268,4-31-5,2017-04-21,2017-06-28,0,0,4,31,5,,,19.57894737,evap
175,3-38-1,2017-04-21,2017-06-28,0.024,0.025,3,38,1,,,19.84210526,evap
199,3-38-2,2017-04-21,2017-06-28,0.047,0.045,3,38,2,,,19.65789474,evap
223,3-38-3,2017-04-21,2017-06-28,0.026,0.023,3,38,3,,,19.65789474,evap
247,3-38-4,2017-04-21,2017-06-28,0.044,0.045,3,38,4,,,19.84210526,evap
271,3-38-5,2017-04-21,2017-06-28,0,0,3,38,5,,filter_off,19.65789474,evap
176,4-38-1,2017-04-21,2017-06-28,0.019,0.021,4,38,1,,,20.02631579,evap
200,4-38-2,2017-04-21,2017-06-28,0.055,0.058,4,38,2,,,20.02631579,evap
224,4-38-3,2017-04-21,2017-06-28,0.041,0.045,4,38,3,,,20.02631579,evap
248,4-38-4,2017-04-21,2017-06-28,0.077,0.077,4,38,4,,,20.02631579,evap
272,4-38-5,2017-04-21,2017-06-28,0,0,4,38,5,,,20.02631579,evap
282,2001-03-01,2017-04-25,2017-06-29,0.049,0.049,1,3,1,,,,
306,2001-03-02,2017-04-25,2017-06-29,0.036,0.033,1,3,2,,,,
330,2001-03-03,2017-04-25,2017-06-29,0.04,0.044,1,3,3,,,,
354,2001-03-04,2017-04-25,2017-06-29,0.04,0.038,1,3,4,,,,
378,2001-03-05,2017-04-25,2017-06-29,0.023,0.023,1,3,5,,,,
283,2002-03-01,2017-04-25,2017-06-29,0.047,0.041,2,3,1,,,,
307,2002-03-02,2017-04-25,2017-06-29,0.048,0.044,2,3,2,,,,
331,2002-03-03,2017-04-25,2017-06-29,0.069,0.069,2,3,3,,,,
355,2002-03-04,2017-04-25,2017-06-29,0.062,0.063,2,3,4,,,,
379,2002-03-05,2017-04-25,2017-06-29,0.036,0.033,2,3,5,,,,
286,2001-10-01,2017-04-25,2017-06-29,0.012,0.012,1,10,1,,,,
310,2001-10-02,2017-04-25,2017-06-29,0.017,0.015,1,10,2,,,,
334,2001-10-03,2017-04-25,2017-06-29,0.01,0.011,1,10,3,,,,
358,2001-10-04,2017-04-25,2017-06-29,0.006,0.008,1,10,4,,,,
382,2001-10-05,2017-04-25,2017-06-29,0.01,0.01,1,10,5,,,,
287,2002-10-01,2017-04-25,2017-06-29,0.012,0.013,2,10,1,,,,
311,2002-10-02,2017-04-25,2017-06-29,0.013,0.013,2,10,2,,,,
335,2002-10-03,2017-04-25,2017-06-29,0.029,0.027,2,10,3,0.5ml,low_vol,,
359,2002-10-04,2017-04-25,2017-06-29,0.024,0.024,2,10,4,possibly contaminated,contaminated,,
383,2002-10-05,2017-04-25,2017-06-29,0.007,0.008,2,10,5,,,,
290,1-17-1,2017-04-25,2017-06-29,0.029,0.03,1,17,1,,,,
314,1-17-2,2017-04-25,2017-06-29,0.014,0.013,1,17,2,,,,
338,1-17-3,2017-04-25,2017-06-29,0.017,0.018,1,17,3,,,,
362,1-17-4,2017-04-25,2017-06-29,0.015,0.016,1,17,4,,,,
386,1-17-5,2017-04-25,2017-06-29,0.002,0.007,1,17,5,,,,
291,2-17-1,2017-04-25,2017-06-29,0.019,0.02,2,17,1,,,,
315,2-17-2,2017-04-25,2017-06-29,0.014,0.013,2,17,2,,,,
339,2-17-3,2017-04-25,2017-06-29,0.014,0.012,2,17,3,,,,
363,2-17-4,2017-04-25,2017-06-29,0.029,0.03,2,17,4,,,,
387,2-17-5,2017-04-25,2017-06-29,0.009,0.007,2,17,5,,,,
294,1-24-1,2017-04-25,2017-06-29,0.015,0.013,1,24,1,,,18.18965517,evap
318,1-24-2,2017-04-25,2017-06-29,0.034,0.038,1,24,2,,,18.18965517,evap
342,1-24-3,2017-04-25,2017-06-29,0.015,0.015,1,24,3,,,18.18965517,evap
366,1-24-4,2017-04-25,2017-06-29,0.016,0.017,1,24,4,,,18.18965517,evap
390,1-24-5,2017-04-25,2017-06-29,0.01,0.012,1,24,5,,,18.18965517,evap
295,2-24-1,2017-04-25,2017-06-29,0.014,0.015,2,24,1,,,18.72727273,evap
319,2-24-2,2017-04-25,2017-06-29,0.038,0.04,2,24,2,,,18.72727273,evap
343,2-24-3,2017-04-25,2017-06-29,0.015,0.017,2,24,3,flowcammed after medium added,,18.72727273,evap
367,2-24-4,2017-04-25,2017-06-29,0.014,0.011,2,24,4,,,18.72727273,evap
391,2-24-5,2017-04-25,2017-06-29,0.008,0.009,2,24,5,,,18.72727273,evap
298,1-31-1,2017-04-25,2017-06-29,0.036,0.033,1,31,1,,,19.24137931,evap
322,1-31-2,2017-04-25,2017-06-29,0.047,0.047,1,31,2,,,19.24137931,evap
346,1-31-3,2017-04-25,2017-06-29,0.048,0.047,1,31,3,,,19.24137931,evap
370,1-31-4,2017-04-25,2017-06-29,0.025,0.026,1,31,4,flowcammed after medium added,,19.24137931,evap
394,1-31-5,2017-04-25,2017-06-29,0.018,0.018,1,31,5,,,19.24137931,evap
299,2-31-1,2017-04-25,2017-06-29,0.041,0.039,2,31,1,,,19.27272727,evap
323,2-31-2,2017-04-25,2017-06-29,0.024,0.028,2,31,2,,,19.27272727,evap
347,2-31-3,2017-04-25,2017-06-29,0.028,0.028,2,31,3,,,19.27272727,evap
371,2-31-4,2017-04-25,2017-06-29,0.015,0.016,2,31,4,,,19.27272727,evap
