"","date","species","temperature","replicate","abs"
"67",2017-04-04,"1","10","3",0.04
"68",2017-04-04,"1","17","3",0.04
"69",2017-04-04,"1","31","3",0.053
"70",2017-04-04,"1","38","3",0.011
"71",2017-04-04,"1","03","4",0.037
"72",2017-04-04,"1","10","4",0.217
"73",2017-04-04,"1","17","4",0.027
"74",2017-04-04,"1","24","4",0.038
"75",2017-04-04,"1","31","4",0.059
"76",2017-04-04,"1","38","4",0.052
"77",2017-04-04,"1","03","5",0.053
"78",2017-04-04,"1","17","5",0.049
"79",2017-04-04,"1","24","5",0.057
"80",2017-04-04,"1","31","5",0.089
"81",2017-04-04,"1","38","5",0.036
"82",2017-04-04,"1","03","1",0.059
"83",2017-04-11,"2","03","1",0.055
"84",2017-04-04,"1","10","1",0.11
"85",2017-04-11,"2","10","1",0.075
"86",2017-04-04,"1","17","1",0.011
"87",2017-04-11,"2","17","1",0.043
"88",2017-04-04,"1","24","1",0.018
"89",2017-04-11,"2","24","1",0.047
"90",2017-04-04,"1","31","1",0.027
"91",2017-04-11,"2","31","1",0.048
"92",2017-04-18,"1","03","1",0.028
"93",2017-04-18,"2","03","1",0.034
"94",2017-04-21,"3","03","1",0.031
"95",2017-04-21,"4","03","1",0.026
"96",2017-04-18,"1","10","1",-0.003
"97",2017-04-18,"2","10","1",0.01
"98",2017-04-21,"3","10","1",0.019
"99",2017-04-21,"4","10","1",-0.022
"100",2017-04-18,"1","17","1",0.025
"101",2017-04-18,"2","17","1",-0.02
"102",2017-04-21,"3","17","1",0
"103",2017-04-21,"4","17","1",-0.007
"104",2017-04-18,"1","24","1",-0.007
"105",2017-04-18,"2","24","1",-0.004
"106",2017-04-21,"3","24","1",-0.001
"107",2017-04-21,"4","24","1",0
"108",2017-04-18,"1","31","1",0.016
"109",2017-04-18,"2","31","1",0.014
"110",2017-04-21,"3","31","1",0.008
"111",2017-04-21,"4","31","1",-0.005
"112",2017-04-18,"1","38","1",0.066
"113",2017-04-18,"2","38","1",0.039
"114",2017-04-21,"3","38","1",0.024
"115",2017-04-21,"4","38","1",0.019
"116",2017-04-18,"1","03","2",0.063
"117",2017-04-18,"2","03","2",0.053
"118",2017-04-21,"3","03","2",0.082
"119",2017-04-21,"4","03","2",0.04
"120",2017-04-18,"1","10","2",0.063
"121",2017-04-18,"2","10","2",0.028
"122",2017-04-21,"3","10","2",0.044
"123",2017-04-21,"4","10","2",0.018
"124",2017-04-18,"1","17","2",0.019
"125",2017-04-18,"2","17","2",0.054
"126",2017-04-21,"3","17","2",0.041
"127",2017-04-21,"4","17","2",0.024
"128",2017-04-18,"1","24","2",0.037
"129",2017-04-18,"2","24","2",0.02
"130",2017-04-21,"4","24","2",0.017
"131",2017-04-18,"1","31","2",0.062
"132",2017-04-18,"2","31","2",0.159
"133",2017-04-21,"3","31","2",0.042
"134",2017-04-21,"4","31","2",0.034
"135",2017-04-18,"1","38","2",0.049
"136",2017-04-18,"2","38","2",0.034
"137",2017-04-21,"3","38","2",0.047
"138",2017-04-21,"4","38","2",0.055
"139",2017-04-18,"1","03","3",0.076
"140",2017-04-18,"2","03","3",0.06
"141",2017-04-21,"3","03","3",0.054
"142",2017-04-21,"4","03","3",0.049
"143",2017-04-18,"1","10","3",0.066
"144",2017-04-18,"2","10","3",0.041
"145",2017-04-21,"3","10","3",0.044
"146",2017-04-21,"4","10","3",0.014
"147",2017-04-18,"1","17","3",0.022
"148",2017-04-18,"2","17","3",0
"149",2017-04-21,"3","17","3",0.012
"150",2017-04-21,"4","17","3",0
"151",2017-04-18,"1","24","3",0.014
"152",2017-04-18,"2","24","3",0.128
"153",2017-04-21,"3","24","3",0.014
"154",2017-04-21,"4","24","3",0.03
"155",2017-04-18,"1","31","3",0.039
"156",2017-04-18,"2","31","3",0.025
"157",2017-04-21,"3","31","3",0.027
"158",2017-04-21,"4","31","3",0.023
"159",2017-04-18,"1","38","3",0.026
"160",2017-04-18,"2","38","3",0.016
"161",2017-04-21,"3","38","3",0.026
"162",2017-04-21,"4","38","3",0.041
"163",2017-04-18,"1","03","4",0.053
"164",2017-04-18,"2","03","4",0.061
"165",2017-04-21,"3","03","4",0.056
"166",2017-04-21,"4","03","4",0.067
"167",2017-04-18,"1","10","4",0.03
"168",2017-04-18,"2","10","4",0.025
"169",2017-04-21,"3","10","4",0.011
"170",2017-04-21,"4","10","4",0.008
"171",2017-04-18,"1","17","4",0.032
"172",2017-04-18,"2","17","4",0.028
"173",2017-04-21,"3","17","4",0.019
"174",2017-04-21,"4","17","4",0.017
"175",2017-04-18,"1","24","4",0.022
"176",2017-04-18,"2","24","4",0.285
"177",2017-04-21,"3","24","4",0.01
"178",2017-04-21,"4","24","4",0
"179",2017-04-18,"1","31","4",0
"180",2017-04-18,"2","31","4",0.047
"181",2017-04-21,"3","31","4",0.034
"182",2017-04-21,"4","31","4",0.016
"183",2017-04-18,"1","38","4",0.126
"184",2017-04-18,"2","38","4",0.038
"185",2017-04-21,"3","38","4",0.044
"186",2017-04-21,"4","38","4",0.077
"187",2017-04-18,"1","03","5",0.069
"188",2017-04-18,"2","03","5",0.054
"189",2017-04-21,"3","03","5",0.038
"190",2017-04-21,"4","03","5",0.02
"191",2017-04-18,"1","10","5",0.02
"192",2017-04-18,"2","10","5",0.041
"193",2017-04-21,"3","10","5",0.047
"194",2017-04-21,"4","10","5",0.015
"195",2017-04-18,"1","17","5",0.013
"196",2017-04-18,"2","17","5",0
"197",2017-04-21,"3","17","5",0.029
"198",2017-04-21,"4","17","5",0.019
"199",2017-04-18,"1","24","5",0.012
"200",2017-04-18,"2","24","5",0.022
"201",2017-04-21,"3","24","5",0.017
"202",2017-04-21,"4","24","5",0.016
"203",2017-04-18,"1","31","5",0.022
"204",2017-04-18,"2","31","5",0.027
"205",2017-04-21,"3","31","5",0.057
"206",2017-04-21,"4","31","5",0
"207",2017-04-18,"1","38","5",0
"208",2017-04-18,"2","38","5",0
"209",2017-04-21,"3","38","5",0
"210",2017-04-21,"4","38","5",0
"211",2017-04-14,"3","03","1",0.03
"212",2017-04-14,"4","03","1",0.065
"213",2017-04-14,"3","10","1",0.053
"214",2017-04-14,"4","10","1",0.057
"215",2017-04-14,"3","17","1",0.052
"216",2017-04-14,"4","17","1",0.04
"217",2017-04-14,"3","24","1",0.065
"218",2017-04-14,"4","24","1",0.052
"219",2017-04-14,"3","31","1",0.051
"220",2017-04-14,"4","31","1",0.038
"221",2017-04-14,"3","38","1",0.048
"222",2017-04-14,"4","38","1",0.077
"223",2017-04-14,"3","03","2",0.011
"224",2017-04-14,"4","03","2",0.043
"225",2017-04-14,"3","10","2",0.038
"226",2017-04-14,"4","10","2",0.033
"227",2017-04-14,"3","17","2",0.077
"228",2017-04-14,"4","17","2",0.074
"229",2017-04-14,"3","24","2",0.044
"230",2017-04-14,"4","24","2",0.037
"231",2017-04-14,"3","31","2",0.036
"232",2017-04-14,"4","31","2",0.067
"233",2017-04-14,"3","38","2",0.038
"234",2017-04-14,"4","38","2",0.037
"235",2017-04-14,"3","03","3",0.044
"236",2017-04-14,"4","03","3",0.028
"237",2017-04-14,"3","10","3",0.053
"238",2017-04-14,"4","10","3",0.044
"239",2017-04-14,"3","17","3",0.045
"240",2017-04-14,"4","17","3",0.041
"241",2017-04-14,"3","24","3",0.051
"242",2017-04-14,"4","24","3",0.014
"243",2017-04-14,"3","31","3",0.032
"244",2017-04-14,"4","31","3",0.042
"245",2017-04-14,"3","38","3",0.053
"246",2017-04-14,"4","38","3",0.046
"247",2017-04-14,"3","03","4",0.048
"248",2017-04-14,"4","03","4",0.042
"249",2017-04-14,"3","10","4",0.053
"250",2017-04-14,"4","10","4",0.05
"251",2017-04-14,"3","17","4",0.035
"252",2017-04-14,"4","17","4",0.045
"253",2017-04-14,"3","24","4",0.044
"254",2017-04-14,"4","24","4",0.022
"255",2017-04-14,"3","31","4",0.007
"256",2017-04-14,"4","31","4",0.064
"257",2017-04-14,"3","38","4",0.074
"258",2017-04-14,"4","38","4",0.062
"259",2017-04-14,"3","03","5",0.03
"260",2017-04-14,"4","03","5",0.05
"261",2017-04-14,"3","10","5",0.065
"262",2017-04-14,"4","10","5",0.058
"263",2017-04-14,"3","17","5",0.063
"264",2017-04-14,"4","17","5",0.053
"265",2017-04-14,"3","24","5",0.044
"266",2017-04-14,"4","24","5",0.043
"267",2017-04-14,"3","31","5",0.049
"268",2017-04-14,"4","31","5",0.042
"269",2017-04-14,"3","38","5",0.082
"270",2017-04-14,"4","38","5",0.035
