sample_name,species,temp,rep,date_N_assay,day,raw_abs_entry,abs,nitrate,notes
TT253,TT,25,3,18-Aug-16,9,24,0.024,,
BB253,BB,25,3,18-Aug-16,9,47,0.047,,
CH164,CH,16,4,18-Aug-16,9,17,0.017,,
TT164,TT,16,4,18-Aug-16,9,26,0.026,,
BB164,BB,16,4,18-Aug-16,9,33,0.033,,
CH254,CH,25,4,18-Aug-16,9,15,0.015,,
TT254,TT,25,4,18-Aug-16,9,20,0.02,,
BB254,BB,25,4,18-Aug-16,9,35,0.035,,
CH165,CH,16,5,18-Aug-16,9,27,0.027,,
TT165,TT,16,5,18-Aug-16,9,18,0.018,,
BB165,BB,16,5,18-Aug-16,9,20,0.02,,
CH255,CH,25,5,18-Aug-16,9,32,0.032,,
TT255,TT,25,5,18-Aug-16,9,21,0.021,,
BB255,BB,25,5,18-Aug-16,9,41,0.041,,
CONT16,CONT,16,1,18-Aug-16,9,185,0.185,,
CONT25,CONT,25,1,18-Aug-16,9,182,0.182,,
ST10,Standard,NA,NA,18-Aug-16,9,75,0.075,10,
ST5,Standard,NA,NA,18-Aug-16,9,46,0.046,5,
ST2.5,Standard,NA,NA,18-Aug-16,9,33,0.033,2.5,
ST1,Standard,NA,NA,18-Aug-16,9,14,0.014,1,
MEDA13,Medium,NA,NA,18-Aug-16,9,163,0.163,,
CH161,CH,16,1,25-Aug-16,16,26,0.026,,
TT161,TT,16,1,25-Aug-16,16,30,0.03,,
BB161,BB,16,1,25-Aug-16,16,17,0.017,,
CH251,CH,25,1,25-Aug-16,16,33,0.033,,
TT251,TT,25,1,25-Aug-16,16,34,0.034,,
BB251,BB,25,1,25-Aug-16,16,48,0.048,,
CH162,CH,16,2,25-Aug-16,16,35,0.035,,
TT162,TT,16,2,25-Aug-16,16,27,0.027,,
BB162,BB,16,2,25-Aug-16,16,15,0.015,,
CH252,CH,25,2,25-Aug-16,16,15,0.015,,
TT252,TT,25,2,25-Aug-16,16,18,0.018,,
BB252,BB,25,2,25-Aug-16,16,23,0.023,,
CH163,CH,16,3,25-Aug-16,16,19,0.019,,
TT163,TT,16,3,25-Aug-16,16,28,0.028,,
BB163,BB,16,3,25-Aug-16,16,22,0.022,,
CH253,CH,25,3,25-Aug-16,16,15,0.015,,
TT253,TT,25,3,25-Aug-16,16,26,0.026,,
BB253,BB,25,3,25-Aug-16,16,26,0.026,,
CH164,CH,16,4,25-Aug-16,16,20,0.02,,
TT164,TT,16,4,25-Aug-16,16,17,0.017,,
BB164,BB,16,4,25-Aug-16,16,16,0.016,,
CH254,CH,25,4,25-Aug-16,16,28,0.028,,
TT254,TT,25,4,25-Aug-16,16,28,0.028,,
BB254,BB,25,4,25-Aug-16,16,26,0.026,,
CH165,CH,16,5,25-Aug-16,16,24,0.024,,
TT165,TT,16,5,25-Aug-16,16,19,0.019,,
BB165,BB,16,5,25-Aug-16,16,23,0.023,,
CH255,CH,25,5,25-Aug-16,16,22,0.022,,
TT255,TT,25,5,25-Aug-16,16,26,0.026,,
BB255,BB,25,5,25-Aug-16,16,23,0.023,,
CONT16,CONT,16,1,25-Aug-16,16,199,0.199,,
CONT25,CONT,25,1,25-Aug-16,16,207,0.207,,
ST1,Standard,NA,NA,25-Aug-16,16,16,0.016,1,
ST5,Standard,NA,NA,25-Aug-16,16,34,0.034,5,
ST10,Standard,NA,NA,25-Aug-16,16,79,0.079,10,
CH161,CH,16,1,01-Sep-16,23,13,0.013,,
TT161,TT,16,1,01-Sep-16,23,25,0.025,,
BB161,BB,16,1,01-Sep-16,23,14,0.014,,
CH251,CH,25,1,01-Sep-16,23,15,0.015,,
TT251,TT,25,1,01-Sep-16,23,17,0.017,,
BB251,BB,25,1,01-Sep-16,23,11,0.011,,
CH162,CH,16,2,01-Sep-16,23,25,0.025,,
TT162,TT,16,2,01-Sep-16,23,102,0.102,,
BB162,BB,16,2,01-Sep-16,23,32,0.032,,
CH252,CH,25,2,01-Sep-16,23,199,0.199,,
TT252,TT,25,2,01-Sep-16,23,83,0.083,,
BB252,BB,25,2,01-Sep-16,23,174,0.174,,
CH163,CH,16,3,01-Sep-16,23,107,0.107,,
TT163,TT,16,3,01-Sep-16,23,107,0.107,,
BB163,BB,16,3,01-Sep-16,23,40,0.04,,
CH253,CH,25,3,01-Sep-16,23,22,0.022,,
TT253,TT,25,3,01-Sep-16,23,29,0.029,,
BB253,BB,25,3,01-Sep-16,23,25,0.025,,
CH164,CH,16,4,01-Sep-16,23,17,0.017,,
TT164,TT,16,4,01-Sep-16,23,63,0.063,,
BB164,BB,16,4,01-Sep-16,23,24,0.024,,
CH254,CH,25,4,01-Sep-16,23,18,0.018,,
TT254,TT,25,4,01-Sep-16,23,16,0.016,,
BB254,BB,25,4,01-Sep-16,23,14,0.014,,
CH165,CH,16,5,01-Sep-16,23,18,0.018,,
TT165,TT,16,5,01-Sep-16,23,29,0.029,,
BB165,BB,16,5,01-Sep-16,23,24,0.024,,
CH255,CH,25,5,01-Sep-16,23,15,0.015,,
TT255,TT,25,5,01-Sep-16,23,28,0.028,,
BB255,BB,25,5,01-Sep-16,23,16,0.016,,
CONT16,CONT,16,1,01-Sep-16,23,137,0.137,,
CONT25,CONT,25,1,01-Sep-16,23,21,0.021,,
ST1,Standard,NA,NA,01-Sep-16,23,176,0.176,1,
ST10,Standard,NA,NA,01-Sep-16,23,6,0.006,10,
ST20,Standard,NA,NA,01-Sep-16,23,48,0.048,20,
MEDA26,Medium,NA,NA,01-Sep-16,23,112,0.112,,
CH161,CH,16,1,07-Sep-16,29,34,0.034,,
TT161,TT,16,1,07-Sep-16,29,41,0.041,,
BB161,BB,16,1,07-Sep-16,29,88,0.088,,
CH251,CH,25,1,07-Sep-16,29,143,0.143,,
TT251,TT,25,1,07-Sep-16,29,102,0.102,,
BB251,BB,25,1,07-Sep-16,29,24,0.024,,
CH162,CH,16,2,07-Sep-16,29,53,0.053,,
TT162,TT,16,2,07-Sep-16,29,20,0.02,,
BB162,BB,16,2,07-Sep-16,29,9,0.009,,
CH252,CH,25,2,07-Sep-16,29,35,0.035,,
TT252,TT,25,2,07-Sep-16,29,36,0.036,,
BB252,BB,25,2,07-Sep-16,29,48,0.048,,
CH163,CH,16,3,07-Sep-16,29,40,0.04,,
TT163,TT,16,3,07-Sep-16,29,33,0.033,,
BB163,BB,16,3,07-Sep-16,29,21,0.021,,
CH253,CH,25,3,07-Sep-16,29,16,0.016,,
TT253,TT,25,3,07-Sep-16,29,42,0.042,,
BB253,BB,25,3,07-Sep-16,29,17,0.017,,
CH164,CH,16,4,07-Sep-16,29,54,0.054,,
TT164,TT,16,4,07-Sep-16,29,35,0.035,,
BB164,BB,16,4,07-Sep-16,29,10,0.01,,
CH254,CH,25,4,07-Sep-16,29,33,0.033,,
TT254,TT,25,4,07-Sep-16,29,34,0.034,,
BB254,BB,25,4,07-Sep-16,29,33,0.033,,
CH165,CH,16,5,07-Sep-16,29,31,0.031,,
TT165,TT,16,5,07-Sep-16,29,31,0.031,,
BB165,BB,16,5,07-Sep-16,29,30,0.03,,
CH255,CH,25,5,07-Sep-16,29,36,0.036,,
TT255,TT,25,5,07-Sep-16,29,38,0.038,,
BB255,BB,25,5,07-Sep-16,29,40,0.04,,
CONT16,CONT,16,1,07-Sep-16,29,15,0.015,,
CONT25,CONT,25,1,07-Sep-16,29,35,0.035,,
MED,Medium,NA,NA,07-Sep-16,29,168,0.168,,
ST1,Standard,NA,NA,07-Sep-16,29,20,0.02,1,
ST10,Standard,NA,NA,07-Sep-16,29,76,0.076,10,
ST20,Standard,NA,NA,07-Sep-16,29,118,0.118,20,
CH161,CH,16,1,14-Sep-16,36,25,0.025,,
TT161,TT,16,1,14-Sep-16,36,40,0.04,,
BB161,BB,16,1,14-Sep-16,36,24,0.024,,
CH251,CH,25,1,14-Sep-16,36,19,0.019,,
TT251,TT,25,1,14-Sep-16,36,28,0.028,,
BB251,BB,25,1,14-Sep-16,36,13,0.013,,
CH162,CH,16,2,14-Sep-16,36,12,0.012,,
TT162,TT,16,2,14-Sep-16,36,22,0.022,,
BB162,BB,16,2,14-Sep-16,36,27,0.027,,
CH252,CH,25,2,14-Sep-16,36,22,0.022,,
TT252,TT,25,2,14-Sep-16,36,14,0.014,,
BB252,BB,25,2,14-Sep-16,36,13,0.013,,
CH163,CH,16,3,14-Sep-16,36,26,0.026,,
TT163,TT,16,3,14-Sep-16,36,25,0.025,,
BB163,BB,16,3,14-Sep-16,36,14,0.014,,
CH253,CH,25,3,14-Sep-16,36,29,0.029,,
TT253,TT,25,3,14-Sep-16,36,25,0.025,,
BB253,BB,25,3,14-Sep-16,36,23,0.023,,
CH164,CH,16,4,14-Sep-16,36,16,0.016,,
TT164,TT,16,4,14-Sep-16,36,21,0.021,,
BB164,BB,16,4,14-Sep-16,36,36,0.036,,
CH254,CH,25,4,14-Sep-16,36,31,0.031,,
TT254,TT,25,4,14-Sep-16,36,33,0.033,,
BB254,BB,25,4,14-Sep-16,36,25,0.025,,
CH165,CH,16,5,14-Sep-16,36,44,0.044,,
TT165,TT,16,5,14-Sep-16,36,20,0.02,,
BB165,BB,16,5,14-Sep-16,36,23,0.023,,
CH255,CH,25,5,14-Sep-16,36,17,0.017,,
TT255,TT,25,5,14-Sep-16,36,20,0.02,,
BB255,BB,25,5,14-Sep-16,36,29,0.029,,
CONT16,CONT,NA,NA,14-Sep-16,36,34,0.034,,
CONT25,CONT,NA,NA,14-Sep-16,36,35,0.035,,
MED,Medium,NA,NA,14-Sep-16,36,137,0.137,,
ST1,Standard,NA,NA,14-Sep-16,36,18,0.018,,
ST10,Standard,NA,NA,14-Sep-16,36,70,0.07,,ST10 AND ST20 samples switched on recorded data
ST20,Standard,NA,NA,14-Sep-16,36,105,0.105,,
TT161,TT,16,1,22-Sep-16,44,11,0.011,,
CH161,CH,16,1,22-Sep-16,44,8,0.008,,
BB161,BB,16,1,22-Sep-16,44,15,0.015,,
TT162,TT,16,2,22-Sep-16,44,20,0.02,,
CH162,CH,16,2,22-Sep-16,44,16,0.016,,
BB162,BB,16,2,22-Sep-16,44,7,0.007,,
TT163,TT,16,3,22-Sep-16,44,10,0.01,,
CH163,CH,16,3,22-Sep-16,44,9,0.009,,
BB163,BB,16,3,22-Sep-16,44,8,0.008,,
TT164,TT,16,4,22-Sep-16,44,7,0.007,,
CH164,CH,16,4,22-Sep-16,44,2,0.002,,
BB164,BB,16,4,22-Sep-16,44,6,0.006,,
TT165,TT,16,5,22-Sep-16,44,5,0.005,,
CH165,CH,16,5,22-Sep-16,44,10,0.01,,
BB165,BB,16,5,22-Sep-16,44,6,0.006,,
TT251,TT,25,1,22-Sep-16,44,190,0.19,,
CH251,CH,25,1,22-Sep-16,44,1,0.001,,
BB251,BB,25,1,22-Sep-16,44,13,0.013,,
TT252,TT,25,2,22-Sep-16,44,7,0.007,,
CH252,CH,25,2,22-Sep-16,44,8,0.008,,
BB252,BB,25,2,22-Sep-16,44,27,0.027,,
TT253,TT,25,3,22-Sep-16,44,22,0.022,,
CH253,CH,25,3,22-Sep-16,44,12,0.012,,
BB253,BB,25,3,22-Sep-16,44,11,0.011,,
TT254,TT,25,4,22-Sep-16,44,16,0.016,,
CH254,CH,25,4,22-Sep-16,44,4,0.004,,
BB254,BB,25,4,22-Sep-16,44,19,0.019,,
TT255,TT,25,5,22-Sep-16,44,10,0.01,,
CH255,CH,25,5,22-Sep-16,44,6,0.006,,
BB255,BB,25,5,22-Sep-16,44,10,0.01,,
CONT16,CONT,NA,NA,22-Sep-16,44,6,0.006,,
CONT25,CONT,NA,NA,22-Sep-16,44,14,0.014,,
MED,Medium,NA,NA,22-Sep-16,44,168,0.168,,
ST1,Standard,NA,NA,22-Sep-16,44,15,0.015,1,
ST10,Standard,NA,NA,22-Sep-16,44,64,0.064,10,
ST20,Standard,NA,NA,22-Sep-16,44,119,0.119,20,
BB101,BB,10,1,14-Sep-16,5,167,0.167,,
TT101,TT,10,1,14-Sep-16,5,145,0.145,,
CH101,CH,10,1,14-Sep-16,5,148,0.148,,
BB102,BB,10,2,14-Sep-16,5,136,0.136,,
TT012,TT,10,2,14-Sep-16,5,154,0.154,,
CH102,CH,10,2,14-Sep-16,5,161,0.161,,
BB103,BB,10,3,14-Sep-16,5,136,0.136,,
TT103,TT,10,3,14-Sep-16,5,155,0.155,,
CH103,CH,10,3,14-Sep-16,5,162,0.162,,
BB104,BB,10,4,14-Sep-16,5,143,0.143,,
TT104,TT,10,4,14-Sep-16,5,172,0.172,,
CH104,CH,10,4,14-Sep-16,5,176,0.176,,
BB105,BB,10,5,14-Sep-16,5,161,0.161,,
TT105,TT,10,5,14-Sep-16,5,167,0.167,,
CH105,CH,10,5,14-Sep-16,5,169,0.169,,
BB301,BB,30,1,14-Sep-16,5,25,0.025,,
TT301,TT,30,1,14-Sep-16,5,22,0.022,,
CH301,CH,30,1,14-Sep-16,5,24,0.024,,
BB302,BB,30,2,14-Sep-16,5,22,0.022,,
TT302,TT,30,2,14-Sep-16,5,46,0.046,,
CH302,CH,30,2,14-Sep-16,5,34,0.034,,
BB303,BB,30,3,14-Sep-16,5,29,0.029,,
TT303,TT,30,3,14-Sep-16,5,69,0.069,,
CH303,CH,30,3,14-Sep-16,5,22,0.022,,
BB304,BB,30,4,14-Sep-16,5,18,0.018,,
TT304,TT,30,4,14-Sep-16,5,19,0.019,,
CH304,CH,30,4,14-Sep-16,5,21,0.021,,
BB305,BB,30,5,14-Sep-16,5,16,0.016,,
TT305,TT,30,5,14-Sep-16,5,38,0.038,,
CH305,CH,30,5,14-Sep-16,5,30,0.03,,
CONT10,CONT,NA,NA,14-Sep-16,5,155,0.155,,
CONT30,CONT,NA,NA,14-Sep-16,5,157,0.157,,
MED,Medium,NA,NA,14-Sep-16,5,137,0.137,,
ST1,Standard,NA,NA,14-Sep-16,5,18,0.018,1,
ST10,Standard,NA,NA,14-Sep-16,5,70,0.07,10,
ST20,Standard,NA,NA,14-Sep-16,5,105,0.105,20,
TT101,TT,10,1,22-Sep-16,13,6,0.006,,
CH101,CH,10,1,22-Sep-16,13,6,0.006,,
BB101,BB,10,1,22-Sep-16,13,6,0.006,,
TT102,TT,10,2,22-Sep-16,13,8,0.008,,
CH102,CH,10,2,22-Sep-16,13,0,0,,
BB102,BB,10,2,22-Sep-16,13,6,0.006,,
TT103,TT,10,3,22-Sep-16,13,6,0.006,,
CH103,CH,10,3,22-Sep-16,13,13,0.013,,
BB103,BB,10,3,22-Sep-16,13,13,0.013,,
TT104,TT,10,4,22-Sep-16,13,12,0.012,,
CH104,CH,10,4,22-Sep-16,13,12,0.012,,
BB104,BB,10,4,22-Sep-16,13,1,0.001,,
TT105,TT,10,5,22-Sep-16,13,5,0.005,,
CH105,CH,10,5,22-Sep-16,13,1,0.001,,
BB105,BB,10,5,22-Sep-16,13,3,0.003,,
TT301,TT,30,1,22-Sep-16,13,13,0.013,,
CH301,CH,30,1,22-Sep-16,13,19,0.019,,
BB301,BB,30,1,22-Sep-16,13,19,0.019,,
TT302,TT,30,2,22-Sep-16,13,17,0.017,,
CH302,CH,30,2,22-Sep-16,13,21,0.021,,
BB302,BB,30,2,22-Sep-16,13,18,0.018,,
TT303,TT,30,3,22-Sep-16,13,12,0.012,,
CH303,CH,30,3,22-Sep-16,13,22,0.022,,
BB303,BB,30,3,22-Sep-16,13,24,0.024,,
TT304,TT,30,4,22-Sep-16,13,19,0.019,,
CH304,CH,30,4,22-Sep-16,13,35,0.035,,
BB304,BB,30,4,22-Sep-16,13,21,0.021,,
TT305,TT,30,5,22-Sep-16,13,25,0.025,,
CH305,CH,30,5,22-Sep-16,13,13,0.013,,
BB305,BB,30,5,22-Sep-16,13,25,0.025,,
CONT10,CONT,NA,NA,22-Sep-16,13,15,0.015,,
CONT30,CONT,NA,NA,22-Sep-16,13,174,0.174,,
MED,Medium,NA,NA,22-Sep-16,13,168,0.168,,
ST1,Standard,NA,NA,22-Sep-16,13,15,0.015,1,
ST10,Standard,NA,NA,22-Sep-16,13,64,0.064,10,
ST20,Standard,NA,NA,22-Sep-16,13,119,0.119,20,
CH101,CH,10,1,29-Sep-16,20,6,0.006,,
TT101,TT,10,1,29-Sep-16,20,9,0.009,,
BB101,BB,10,1,29-Sep-16,20,9,0.009,,
CH102,CH,10,2,29-Sep-16,20,4,0.004,,
TT102,TT,10,2,29-Sep-16,20,13,0.013,,
BB102,BB,10,2,29-Sep-16,20,12,0.012,,
CH103,CH,10,3,29-Sep-16,20,6,0.006,,
TT103,TT,10,3,29-Sep-16,20,12,0.012,,
BB103,BB,10,3,29-Sep-16,20,5,0.005,,
CH104,CH,10,4,29-Sep-16,20,11,0.011,,
TT104,TT,10,4,29-Sep-16,20,12,0.012,,
BB104,BB,10,4,29-Sep-16,20,2,0.002,,
CH105,CH,10,5,29-Sep-16,20,4,0.004,,
TT105,TT,10,5,29-Sep-16,20,12,0.012,,
BB105,BB,10,5,29-Sep-16,20,10,0.01,,
CH301,CH,30,1,29-Sep-16,20,13,0.013,,
TT301,TT,30,1,29-Sep-16,20,13,0.013,,
BB301,BB,30,1,29-Sep-16,20,30,0.03,,
CH302,CH,30,2,29-Sep-16,20,41,0.041,,
TT302,TT,30,2,29-Sep-16,20,6,0.006,,
BB302,BB,30,2,29-Sep-16,20,27,0.027,,
CH303,CH,30,3,29-Sep-16,20,5,0.005,,
TT303,TT,30,3,29-Sep-16,20,10,0.01,,
BB303,BB,30,3,29-Sep-16,20,30,0.03,,
CH304,CH,30,4,29-Sep-16,20,30,0.03,,
TT304,TT,30,4,29-Sep-16,20,17,0.017,,
BB304,BB,30,4,29-Sep-16,20,28,0.028,,
CH305,CH,30,5,29-Sep-16,20,22,0.022,,
TT305,TT,30,5,29-Sep-16,20,13,0.013,,
BB305,BB,30,5,29-Sep-16,20,5,0.005,,
CONT10,CONT,NA,NA,29-Sep-16,20,169,0.169,,
CONT30,CONT,NA,NA,29-Sep-16,20,200,0.2,,
MED,Medium,NA,NA,29-Sep-16,20,2,0.002,,
ST0.5,Standard,NA,NA,29-Sep-16,20,9,0.009,0.5,
ST1,Standard,NA,NA,29-Sep-16,20,54,0.054,1,
ST10,Standard,NA,NA,29-Sep-16,20,188,0.188,10,
CH101,CH,10,1,04-Oct-16,25,5,0.005,,
TT101,TT,10,1,04-Oct-16,25,4,0.004,,
BB101,BB,10,1,04-Oct-16,25,6,0.006,,
CH102,CH,10,2,04-Oct-16,25,10,0.01,,
TT102,TT,10,2,04-Oct-16,25,9,0.009,,
BB102,BB,10,2,04-Oct-16,25,22,0.022,,
CH103,CH,10,3,04-Oct-16,25,70,0.07,,
TT103,TT,10,3,04-Oct-16,25,6,0.006,,
BB103,BB,10,3,04-Oct-16,25,6,0.006,,
CH104,CH,10,4,04-Oct-16,25,4,0.004,,
TT104,TT,10,4,04-Oct-16,25,9,0.009,,
BB104,BB,10,4,04-Oct-16,25,11,0.011,,
CH105,CH,10,5,04-Oct-16,25,9,0.009,,
TT105,TT,10,5,04-Oct-16,25,49,0.049,,
BB105,BB,10,5,04-Oct-16,25,8,0.008,,
CH301,CH,30,1,04-Oct-16,25,22,0.022,,
TT301,TT,30,1,04-Oct-16,25,7,0.007,,
BB301,BB,30,1,04-Oct-16,25,7,0.007,,
CH302,CH,30,2,04-Oct-16,25,31,0.031,,
TT302,TT,30,2,04-Oct-16,25,9,0.009,,
BB302,BB,30,2,04-Oct-16,25,20,0.02,,
CH303,CH,30,3,04-Oct-16,25,11,0.011,,
TT303,TT,30,3,04-Oct-16,25,18,0.018,,
BB303,BB,30,3,04-Oct-16,25,14,0.014,,
CH304,CH,30,4,04-Oct-16,25,8,0.008,,
TT304,TT,30,4,04-Oct-16,25,6,0.006,,
BB304,BB,30,4,04-Oct-16,25,9,0.009,,
CH305,CH,30,5,04-Oct-16,25,21,0.021,,
TT305,TT,30,5,04-Oct-16,25,18,0.018,,
BB305,BB,30,5,04-Oct-16,25,12,0.012,,
CONT10,CONT,NA,NA,04-Oct-16,25,123,0.123,,
CONT30,CONT,NA,NA,04-Oct-16,25,119,0.119,,
MED,Medium,NA,NA,04-Oct-16,25,164,0.164,,
ST0.5,Standard,NA,NA,04-Oct-16,25,5,0.005,,
ST1,Standard,NA,NA,04-Oct-16,25,8,0.008,,
ST5,Standard,NA,NA,04-Oct-16,25,29,0.029,,
